,user_id,name,priority,category
0,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,develop a workout routine,2,fitness
1,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,master four plyometric moves,5,fitness
2,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,hold a deep squat for one minute,1,fitness
3,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,try a new sport or activity,1,healthy
4,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,drink water,3,healthy
5,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,ditch the junk foods and start eating clean,2,healthy
6,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,travel abroad,2,long-term
7,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,"set a local, state, or world record in something",2,long-term
8,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,choreograph a dance,5,creative
9,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,get up when your alarm goes off,2,personal
10,ccb04ed9-2349-11ea-be57-74d02b9c93aa,add strength,1,healthy
11,ccb04ed9-2349-11ea-be57-74d02b9c93aa,try a new sport or activity,1,healthy
12,ccb04ed9-2349-11ea-be57-74d02b9c93aa,30 days of yoga,1,fitness
13,ccb04ed9-2349-11ea-be57-74d02b9c93aa,master four plyometric moves,5,fitness
15,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,start my own business,2,career
16,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,become a mentor,3,career
17,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,make a career out of a hobby,1,career
18,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,quit smoking,4,healthy
19,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,eat more veggies,1,healthy
20,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,go au natural,3,healthy
21,ccb04edc-2349-11ea-9c27-74d02b9c93aa,continue my education,2,career
22,ccb04edc-2349-11ea-9c27-74d02b9c93aa,become my best self,1,long-term
23,ccb04edc-2349-11ea-9c27-74d02b9c93aa,rally a community around,1,long-term
24,ccb04edc-2349-11ea-9c27-74d02b9c93aa,make an extra $500,5,financial
25,ccb04edc-2349-11ea-9c27-74d02b9c93aa,try a new form of exercise,4,fitness
26,ccb04edc-2349-11ea-9c27-74d02b9c93aa,touch the rim of a basketball hoop,3,fitness
27,ccb04edc-2349-11ea-9c27-74d02b9c93aa,learn to have empathy,3,social and family
29,ccb04ede-2349-11ea-9a47-74d02b9c93aa,be open to broadening,5,knowledge
30,ccb04ede-2349-11ea-9a47-74d02b9c93aa,quit smoking,4,healthy
31,ccb04ede-2349-11ea-9a47-74d02b9c93aa,ditch the junk foods and start eating clean,2,healthy
32,ccb04ede-2349-11ea-9a47-74d02b9c93aa,become my best self,4,long-term
33,ccb04ede-2349-11ea-9a47-74d02b9c93aa,learn to love,2,long-term
34,ccb04ede-2349-11ea-9a47-74d02b9c93aa,start planning for retirement,2,financial
35,ccb04ede-2349-11ea-9a47-74d02b9c93aa,pay off my student loans and build a college fund for my children,3,financial
36,ccb04ede-2349-11ea-9a47-74d02b9c93aa,complete five pull-ups,2,fitness
37,ccb04ede-2349-11ea-9a47-74d02b9c93aa,swim a mile,3,fitness
